Date,AMZN_prices_prices,TSLA_prices_prices,META_prices_prices,AAPL_prices_prices,JNJ_prices_prices,V_prices_prices,PG_prices_prices,JPM_prices_prices,MSFT_prices_prices,GOOGL_prices_prices
2012-05-18,10.692500114440918,1.8373329639434812,38.22999954223633,16.056869506835938,45.56041717529297,25.95073509216309,45.14889144897461,24.109100341796875,23.571969985961918,15.025025367736816
2012-05-21,10.905500411987305,1.9179999828338623,34.029998779296875,16.992340087890625,45.64670944213867,26.7755184173584,45.05648422241211,23.40361213684082,23.95852851867676,15.368118286132812
2012-05-22,10.76650047302246,2.053333044052124,31.0,16.861865997314453,45.68266296386719,27.275453567504883,44.88589477539063,24.483442306518555,23.96657943725586,15.035035133361816
2012-05-23,10.86400032043457,2.068000078201294,32.0,17.273298263549805,45.50287628173828,27.45516014099121,44.345703125,24.663406372070312,23.443117141723636,15.251751899719238
2012-05-24,10.76200008392334,2.018666982650757,33.029998779296875,17.11465072631836,45.82240295410156,27.59338760375977,44.47365188598633,24.45464134216309,23.410898208618164,15.106607437133787
2012-05-25,10.64449977874756,1.987333059310913,31.90999984741211,17.02292251586914,45.39394760131836,27.501239776611328,44.416778564453125,24.116294860839844,23.4028434753418,14.80305290222168
2012-05-29,10.737500190734863,2.1126670837402344,28.84000015258789,17.325063705444336,45.45204925537109,27.710893630981445,44.74374008178711,24.20988655090332,23.80551147460937,14.873373031616213
2012-05-30,10.46150016784668,2.0273330211639404,28.190000534057617,17.533946990966797,45.17609405517578,27.06810760498047,44.29595184326172,23.72756004333496,23.628341674804688,14.720470428466797
2012-05-31,10.645500183105469,1.9666670560836792,29.600000381469727,17.4903621673584,45.33585357666016,26.5405216217041,44.27462387084961,23.864337921142575,23.507543563842773,14.536035537719728
2012-06-01,10.41100025177002,1.876667022705078,27.71999931335449,16.983566284179688,44.86383056640625,25.86088180541992,43.74864196777344,22.986068725585938,22.911602020263672,14.288788795471191
2012-06-04,10.728500366210938,1.858667016029358,26.899999618530277,17.083473205566406,45.27049255371094,26.300922393798828,43.64203643798828,22.31656837463379,22.992128372192383,14.479228973388672
2012-06-05,10.660499572753906,1.8606669902801516,25.8700008392334,17.03926658630371,45.17609405517578,26.220287322998047,43.47854232788086,23.029268264770508,22.95991325378418,14.274524688720703
2012-06-06,10.881999969482422,1.9479999542236328,26.809999465942383,17.3005428314209,45.60454559326172,26.80316162109375,43.92633056640625,23.80674743652344,23.63639640808105,14.528779029846191
2012-06-07,10.9399995803833,1.928666949272156,26.309999465942383,17.30841064453125,45.60454559326172,26.911439895629883,44.60868453979492,23.619571685791016,23.53974914550781,14.470219612121582
2012-06-08,10.923999786376951,2.005332946777344,27.100000381469727,17.568771362304688,45.73524856567383,26.85845184326172,44.6015853881836,24.245874404907227,23.877992630004883,14.525775909423828
2012-06-11,10.824999809265137,1.941333055496216,27.01000022888184,17.291770935058594,45.11073684692383,26.80547523498535,44.45232009887695,23.62677001953125,23.27399444580078,14.226726531982422
2012-06-12,10.821000099182127,1.9773329496383667,27.399999618530277,17.442829132080078,45.80786895751953,26.99207878112793,44.60868453979492,24.310657501220703,23.58807945251465,14.141641616821287
2012-06-13,10.736499786376951,1.9846669435501096,27.270000457763672,17.321727752685547,46.80274963378906,26.47140312194824,44.47365188598633,24.69220924377441,23.459226608276367,14.04129123687744
2012-06-14,10.72249984741211,1.9593329429626465,28.290000915527344,17.30265235900879,47.5289421081543,26.837718963623047,44.9072265625,24.94417381286621,23.628341674804688,13.990240097045898
2012-06-15,10.917499542236328,1.99399995803833,30.01000022888184,17.38136863708496,47.93560791015625,27.27775382995605,44.69398498535156,25.21773147583008,24.17597007751465,14.126876831054688
2012-06-18,11.133000373840332,2.122667074203491,31.40999984741211,17.734067916870117,48.14620971679688,27.669410705566406,44.27462387084961,24.922571182250977,24.0310001373291,14.28553581237793
2012-06-19,11.201499938964844,2.1393330097198486,31.90999984741211,17.78341293334961,48.451202392578125,27.957395553588867,44.21775817871094,25.46968650817871,24.72358703613281,14.55280303955078
2012-06-20,11.151000022888184,2.252000093460083,31.600000381469727,17.73285484313965,48.65453338623047,28.243078231811523,42.92412567138672,26.23996353149414,24.90881729125977,14.45220184326172
2012-06-21,11.028499603271484,2.1459999084472656,31.84000015258789,17.488536834716797,48.21156311035156,27.52657890319824,42.469234466552734,25.56327247619629,24.272615432739254,14.144393920898438
2012-06-22,11.107999801635742,2.25266695022583,33.04999923706055,17.622657775878906,48.385841369628906,28.78678321838379,42.526100158691406,25.90881729125977,24.72358703613281,14.30130100250244
2012-06-25,11.003499984741213,2.2073330879211426,32.060001373291016,17.279651641845703,48.29143524169922,27.938966751098636,42.15649032592773,25.42649269104004,24.05516624450684,14.031532287597656
2012-06-26,11.280500411987305,2.107332944869995,33.099998474121094,17.317798614501953,48.23332977294922,28.37440299987793,42.12807083129883,25.70725440979004,24.17597007751465,14.131131172180176
2012-06-27,11.281000137329102,2.130666971206665,32.22999954223633,17.392568588256836,48.538352966308594,28.438913345336918,42.63271331787109,26.4775390625,24.29676055908203,14.246747016906738
2012-06-28,11.065500259399414,2.094000101089477,31.36000061035156,17.22757911682129,48.61095428466797,27.99656105041504,42.85306930541992,25.829627990722656,24.087377548217773,14.121871948242188
2012-06-29,11.417499542236328,2.0859999656677246,31.100000381469727,17.680179595947266,49.06118774414063,28.48267936706543,43.53540802001953,25.721649169921875,24.63500595092773,14.516265869140623
